Gender,Combined,Twenty,TwentyNULL,Thirty,ThirtyNULL,Fourty,FourtyNULL
Men,American Indian Men,0.012,0,-0.009,0,-0.008,0
Women,American Indian Women,-0.022,0,-0.018,0,-0.035,0
Men,Asian Men,0.028,0,0.023,0,0.02,0
Women,Asian Women,0.033,0,0.009,0,0.01,0
Men,Black Men,-0.012,0,-0.024,0,-0.028,0
Women,Black Women,-0.011,0,-0.036,0,-0.052,0
Men,Hispanic Men,-0.004,0,-0.007,0,-0.016,0
Women,Hispanic Women,-0.01,0,-0.026,0,-0.024,0
Men,Pacific Islander Men,0.008,0,-0.001,0,0.041,0
Women,Pacific Islander Women,-0.01,0,-0.009,0,-0.019,0
Men,White Men,0,0,0,0,0,0
Women,White Women,-0.008,0,-0.023,0,-0.03,0